Hgene	Mgene	Role
FOS	Fos	IEG
JUN	Jun	IEG
HSPA1A	Hspa1a	heatshock
FOSB	Fosb	IEG
JUNB	Junb	IEG
EGR1	Egr1	IEG
HSPA1b	Hspa1b	heatshock
UBC	Ubc	Unk
ZFP36	Zfp36	IEG
HSPA1B	Hspb1	heatshock
HSP90AA1	Hsp90aa1	heatshock
MT2A	Mt2	Unk
DNAJB1	Dnajb1	heatshock
BTG2	Btg2	Unk
NR4A1	Nr4a1	IEG
CEBPB	Cebpd	IEG
HSPA8	Hspa8	heatshock
MT1A	Mt1	Unk
IER3	Ier3	IEG
DNAJA1	Dnaja1	heatshock
SOCS3	Socs3	Unk
ATF3	Atf3	IEG
JUND	Jund	IEG
CEBPB	Cebpb	Unk
ID3	Id3	Unk
PPP1R15A	Pp1r15a	Unk
HSPE1	Hspe1	heatshock
CXCL2	Cxcl1	chemokine
DUSP1	Dusp1	IEG
HSP90AB1	Hsp90ab1	heatshock
NFKBIA	Nfkbia	IEG
HSPH1	Hsph1	heatshock
