"mean_flush" "mean_caudate" "detect_flush" "detect_caudate" "pval" "qval" "Gene" "Ctype" "dir"
"ENO1" 0.528603313022578 0.353882244563608 0.460227272727273 0.287425149700599 0.000677830851327526 0.0213785698664729 "ENO1" "CD3abTcells" 1
"CAPZB" 0.507994493852441 0.330120049148456 0.467329545454545 0.275449101796407 0.000381193634934933 0.0131727261324472 "CAPZB" "CD3abTcells" 1
"C1QA" 0.0341085252963281 0.130338237736276 0.0340909090909091 0.101796407185629 0.000141481434274479 0.0058163505497253 "C1QA" "CD3abTcells" -1
"RPL11" 7.42171642023532 6.09829195011417 0.998579545454545 0.976047904191617 3.05375025293458e-10 3.30971004686237e-08 "RPL11" "CD3abTcells" 1
"RSRP1" 0.458224097024389 0.150993899746667 0.421875 0.119760479041916 1.8744770606204e-11 2.32786619965796e-09 "RSRP1" "CD3abTcells" 1
"SH3BGRL3" 1.70082870066363 2.21866957307836 0.869318181818182 0.826347305389222 7.52695925034944e-05 0.0032048717208095 "SH3BGRL3" "CD3abTcells" -1
"HMGN2" 0.444821172344934 0.31419459004052 0.401988636363636 0.227544910179641 0.00100745239570433 0.0299522380588206 "HMGN2" "CD3abTcells" 1
"RNU11" 0 0.0187477994703243 0 0.0179640718562874 0.000372803530516973 0.0129579116350535 "RNU11" "CD3abTcells" -1
"LAPTM5" 0.771028976863025 0.44531779521193 0.605113636363636 0.329341317365269 4.87256390205058e-07 3.45831096839096e-05 "LAPTM5" "CD3abTcells" 1
"MARCKSL1" 0.119648441229124 0.0190747041205601 0.116477272727273 0.0179640718562874 0.000136031535277026 0.00561165385319275 "MARCKSL1" "CD3abTcells" 1
"RBBP4" 0.11081341676382 0.224119352045466 0.106534090909091 0.191616766467066 0.00122409197148164 0.0350808280865484 "RBBP4" "CD3abTcells" -1
"NDUFS5" 0.419244090032252 0.298411374056897 0.397727272727273 0.221556886227545 0.000748595241681431 0.0231811752501974 "NDUFS5" "CD3abTcells" 1
"YBX1" 1.01361075277003 0.666444254879057 0.738636363636364 0.44311377245509 4.87331188298676e-07 3.45831096839096e-05 "YBX1" "CD3abTcells" 1
"PTPRF" 0 0.0290705051254313 0 0.0179640718562874 0.000372803530516973 0.0129579116350535 "PTPRF" "CD3abTcells" -1
"LRP8" 0.00282314172003112 0.0330157465818389 0.00284090909090909 0.029940119760479 0.000416113397265026 0.0141336294079591 "LRP8" "CD3abTcells" -1
"DHCR24" 0.0227589147359313 0.137163770739707 0.0227272727272727 0.119760479041916 1.12589670191291e-08 9.72676846391721e-07 "DHCR24" "CD3abTcells" -1
"C8A" 0.00285238098283156 0.0464589467399701 0.00284090909090909 0.0419161676646707 7.13594128447722e-06 0.000409012942276622 "C8A" "CD3abTcells" -1
"JUN" 0.599737605189316 0.325434020625722 0.440340909090909 0.179640718562874 2.07158621864872e-07 1.56312980371709e-05 "JUN" "CD3abTcells" 1
"DOCK7" 0 0.0240892892387509 0 0.0239520958083832 3.92256400889898e-05 0.00187059232456375 "DOCK7" "CD3abTcells" -1
"GADD45A" 0.0924095723795559 0.0119802663641051 0.0894886363636364 0.0119760479041916 0.000616756369225539 0.0197638965945916 "GADD45A" "CD3abTcells" 1
"RP11-386I14.4" 0.0256448483190798 0.147769856087753 0.0255681818181818 0.0898203592814371 6.48102484612187e-05 0.0028410675190807 "RP11-386I14.4" "CD3abTcells" -1
"SEP15" 0.211932839772036 0.105764789913388 0.211647727272727 0.0958083832335329 0.00113839017234776 0.0329414748415776 "SEP15" "CD3abTcells" 1
