	mean_flush	mean_caudate	detect_flush	detect_caudate	pval	qval	Gene	Ctype	dir
MT-ND4L	0.240	2.795	0.229	0.952	3.98E-99	4.75E-95	MT-ND4L	CD3abTcells	-1
MT-CO1	9.525	50.317	1.000	1.000	9.04E-90	5.39E-86	MT-CO1	CD3abTcells	-1
MT-CO2	6.578	37.382	0.999	1.000	2.14E-89	8.49E-86	MT-CO2	CD3abTcells	-1
MT-CO3	6.518	33.512	0.999	1.000	4.36E-89	1.04E-85	MT-CO3	CD3abTcells	-1
MT-ND4	5.041	26.690	0.996	1.000	3.59E-89	1.04E-85	MT-ND4	CD3abTcells	-1
MT-CYB	3.307	16.799	0.979	1.000	2.58E-87	5.13E-84	MT-CYB	CD3abTcells	-1
MT-ATP6	4.170	18.137	0.991	1.000	3.43E-87	5.84E-84	MT-ATP6	CD3abTcells	-1
MT-ND1	3.013	13.219	0.983	1.000	2.37E-85	3.53E-82	MT-ND1	CD3abTcells	-1
MT-ND2	4.015	15.797	0.991	1.000	8.54E-85	1.13E-81	MT-ND2	CD3abTcells	-1
MT-ND3	2.945	11.174	0.966	1.000	5.59E-79	6.66E-76	MT-ND3	CD3abTcells	-1
MT-ND5	0.832	4.384	0.634	0.976	1.60E-76	1.73E-73	MT-ND5	CD3abTcells	-1
HBB	2.065	0.138	0.966	0.132	1.33E-74	1.32E-71	HBB	CD3abTcells	1
EEF1A1	17.644	7.581	1.000	0.988	1.82E-69	1.67E-66	EEF1A1	CD3abTcells	1
MT-ND6	0.067	0.982	0.065	0.581	7.26E-63	6.18E-60	MT-ND6	CD3abTcells	-1
HBA2	1.266	0.097	0.852	0.072	6.26E-57	4.98E-54	HBA2	CD3abTcells	1
JUNB	4.406	0.903	0.962	0.413	3.58E-55	2.67E-52	JUNB	CD3abTcells	1
TPT1	9.745	4.794	1.000	0.934	1.28E-46	8.98E-44	TPT1	CD3abTcells	1
ZFP36L2	1.600	0.281	0.795	0.228	5.33E-36	3.53E-33	ZFP36L2	CD3abTcells	1
ITIH3	0.011	0.319	0.011	0.263	3.00E-35	1.88E-32	ITIH3	CD3abTcells	-1
HNRNPA1	2.640	1.230	0.977	0.677	3.05E-32	1.82E-29	HNRNPA1	CD3abTcells	1
MT-ATP8	0.028	0.386	0.028	0.299	1.27E-31	7.19E-29	MT-ATP8	CD3abTcells	-1
SAA1	3.823	1.651	0.991	0.683	2.96E-29	1.60E-26	SAA1	CD3abTcells	1
RPL13A	13.560	9.228	1.000	0.988	1.08E-28	5.62E-26	RPL13A	CD3abTcells	1
RPL7	5.251	3.053	0.997	0.922	2.39E-28	1.19E-25	RPL7	CD3abTcells	1
NR4A2	0.797	0.069	0.557	0.054	9.40E-28	4.48E-25	NR4A2	CD3abTcells	1
RPL3	8.086	5.125	1.000	0.988	1.04E-27	4.75E-25	RPL3	CD3abTcells	1
RPS2	10.196	6.636	1.000	0.982	1.16E-27	5.14E-25	RPS2	CD3abTcells	1
HSPA8	1.397	0.503	0.857	0.371	1.47E-27	6.25E-25	HSPA8	CD3abTcells	1
RPL30	7.070	4.599	1.000	0.970	4.38E-27	1.80E-24	RPL30	CD3abTcells	1
CD69	1.149	0.242	0.689	0.198	3.12E-26	1.24E-23	CD69	CD3abTcells	1
RPL15	5.385	3.505	1.000	0.934	5.04E-26	1.94E-23	RPL15	CD3abTcells	1
CXCR4	1.255	0.277	0.678	0.198	5.52E-26	2.06E-23	CXCR4	CD3abTcells	1
RPS14	9.069	6.129	1.000	0.982	5.92E-26	2.14E-23	RPS14	CD3abTcells	1
IGKC	0.940	0.298	0.692	0.168	8.31E-26	2.91E-23	IGKC	CD3abTcells	1
RPL4	2.628	1.351	0.970	0.695	4.30E-24	1.47E-21	RPL4	CD3abTcells	1
EEF2	1.693	0.719	0.899	0.467	9.47E-24	3.14E-21	EEF2	CD3abTcells	1
H3F3B	2.392	1.159	0.962	0.623	1.32E-23	4.24E-21	H3F3B	CD3abTcells	1
DUSP2	1.233	0.184	0.577	0.132	2.22E-23	6.95E-21	DUSP2	CD3abTcells	1
EIF1	3.717	2.374	0.999	0.886	3.30E-23	1.01E-20	EIF1	CD3abTcells	1
SARAF	0.974	0.304	0.730	0.251	3.67E-23	1.09E-20	SARAF	CD3abTcells	1
NFKBIA	0.815	0.164	0.581	0.120	5.79E-23	1.68E-20	NFKBIA	CD3abTcells	1
DUSP1	0.860	0.131	0.560	0.096	9.26E-23	2.63E-20	DUSP1	CD3abTcells	1
BTG1	2.316	1.077	0.939	0.641	2.55E-22	7.06E-20	BTG1	CD3abTcells	1
AC090498.1	0.492	1.308	0.462	0.713	3.26E-22	8.82E-20	AC090498.1	CD3abTcells	-1
RPL7A	4.126	2.608	0.996	0.874	3.80E-22	1.01E-19	RPL7A	CD3abTcells	1
GNB2L1	2.993	1.772	0.982	0.754	2.78E-21	7.21E-19	GNB2L1	CD3abTcells	1
RPS9	4.566	3.009	0.997	0.916	3.42E-21	8.68E-19	RPS9	CD3abTcells	1
RPS3A	7.552	5.190	0.999	0.976	5.99E-21	1.49E-18	RPS3A	CD3abTcells	1
ZNF331	0.559	0.037	0.422	0.030	1.93E-20	4.70E-18	ZNF331	CD3abTcells	1
RPS3	8.586	6.153	0.999	0.988	4.76E-20	1.13E-17	RPS3	CD3abTcells	1
RGS1	1.269	0.188	0.500	0.096	8.84E-20	2.07E-17	RGS1	CD3abTcells	1
HBA1	0.513	0.163	0.462	0.060	1.18E-19	2.71E-17	HBA1	CD3abTcells	1
RPL27A	8.313	6.241	1.000	1.000	2.14E-19	4.82E-17	RPL27A	CD3abTcells	1
GLTSCR2	1.313	0.568	0.832	0.437	4.01E-19	8.86E-17	GLTSCR2	CD3abTcells	1
VIM	1.561	0.679	0.815	0.413	5.09E-19	1.10E-16	VIM	CD3abTcells	1
CREM	0.660	0.102	0.462	0.072	2.69E-18	5.73E-16	CREM	CD3abTcells	1
RPL8	3.277	2.184	0.990	0.856	1.16E-17	2.42E-15	RPL8	CD3abTcells	1
RPL9	5.734	3.911	0.999	0.922	2.21E-17	4.54E-15	RPL9	CD3abTcells	1
RPL13	13.556	9.858	1.000	0.994	2.59E-17	5.22E-15	RPL13	CD3abTcells	1
ZFP36	0.893	0.256	0.580	0.180	2.66E-17	5.28E-15	ZFP36	CD3abTcells	1
RPL23A	8.848	6.601	1.000	0.970	2.89E-17	5.64E-15	RPL23A	CD3abTcells	1
DNAJB1	0.561	0.080	0.433	0.072	4.89E-17	9.39E-15	DNAJB1	CD3abTcells	1
RPS4X	7.833	5.583	1.000	0.988	2.12E-16	4.01E-14	RPS4X	CD3abTcells	1
AC092580.4	0.296	1.048	0.257	0.509	5.35E-16	9.97E-14	AC092580.4	CD3abTcells	-1
HLA-E	2.217	1.323	0.959	0.754	6.97E-16	1.28E-13	HLA-E	CD3abTcells	1
RPLP0	3.294	2.080	0.980	0.796	1.56E-15	2.82E-13	RPLP0	CD3abTcells	1
TNFAIP3	0.446	0.058	0.362	0.042	3.85E-15	6.85E-13	TNFAIP3	CD3abTcells	1
LITAF	0.467	0.109	0.416	0.078	6.53E-15	1.15E-12	LITAF	CD3abTcells	1
ACTG1	3.787	2.301	0.974	0.814	7.58E-15	1.31E-12	ACTG1	CD3abTcells	1
GAPDH	2.556	1.585	0.967	0.713	8.35E-15	1.42E-12	GAPDH	CD3abTcells	1
NPM1	1.110	0.520	0.774	0.389	1.21E-14	2.03E-12	NPM1	CD3abTcells	1
