MoleculeName	
UniProt:Q08334 IL10RB	
UniProt:P29597 TYK2	
UniProt:P22301 IL10	
UniProt:P23458 JAK1	
UniProt:Q13651 IL10RA	
UniProt:P40763 STAT3	
UniProt:P15018 LIF	
UniProt:Q99731 CCL19	
UniProt:P29459 IL12A	
UniProt:O00626 CCL22	
UniProt:P29460 IL12B	
UniProt:P78556 CCL20	
UniProt:P13236 CCL4	
UniProt:P13501 CCL5	
UniProt:P10145 CXCL8	
UniProt:P01584 IL1B	
UniProt:P16619 CCL3L1	
UniProt:P01583 IL1A	
UniProt:P10147 CCL3	
UniProt:P19875 CXCL2	
UniProt:P09919 CSF3	
UniProt:P09341 CXCL1	
UniProt:Q14116 IL18	
UniProt:P02778 CXCL10	
UniProt:P13500 CCL2	
UniProt:P05231 IL6	
UniProt:P01375 TNF	
UniProt:P04141 CSF2	
UniProt:P35354 PTGS2	
UniProt:P05362 ICAM1	
UniProt:P06734 FCER2	
UniProt:P14778 IL1R1	
UniProt:P09603 CSF1	
UniProt:P42081 CD86	
UniProt:P27930 IL1R2	
UniProt:P33681 CD80	
UniProt:P01033 TIMP1	
UniProt:P19438 TNFRSF1A	
UniProt:P25105 PTAFR	
UniProt:P32246 CCR1	
UniProt:P18510 IL1RN	
UniProt:P20333 TNFRSF1B	
UniProt:P51681 CCR5	
UniProt:P41597 CCR2	
UniProt:P21462 FPR1	
UniProt:O00182 LGALS9	
UniProt:Q8TDQ0 HAVCR2	
UniProt:Q13261 IL15RA	
UniProt:P40933 IL15	
UniProt:P31785 IL2RG	
UniProt:P14784 IL2RB	
UniProt:P52333 JAK3	
UniProt:P51692 STAT5B	
UniProt:P42229 STAT5A	
UniProt:P29353 SHC1	
UniProt:Q9UQC2 GAB2	
UniProt:P62993 GRB2	
UniProt:Q07890 SOS2	
UniProt:Q07889 SOS1	
UniProt:Q01113 IL9R	
UniProt:P15248 IL9	
UniProt:P42224 STAT1	
UniProt:P62993-1 GRB2	
UniProt:P01589 IL2RA	
UniProt:P60568 IL2	
UniProt:P32927 CSF2RB	
UniProt:O60674 JAK2	
UniProt:P08700 IL3	
UniProt:P26951 IL3RA	
UniProt:P15509 CSF2RA	
UniProt:P05113 IL5	
UniProt:Q01344 IL5RA	
UniProt:P42338 PIK3CB	
UniProt:Q92569 PIK3R3	
UniProt:O00459 PIK3R2	
UniProt:P27986 PIK3R1	
UniProt:O00329 PIK3CD	
UniProt:P42336 PIK3CA	
UniProt:Q92835 INPP5D	
UniProt:O15357 INPPL1	
UniProt:P29350 PTPN6	
UniProt:P06239 LCK	
UniProt:P43405 SYK	
UniProt:Q14289 PTK2B	
UniProt:Q9HBE5 IL21R	
UniProt:Q9HBE4 IL21	
UniProt:Q14765 STAT4	
UniProt:Q06124 PTPN11	
UniProt:P40189-1 IL6ST	
UniProt:P08887 IL6R	
UniProt:P08887-2 IL6R	
UniProt:P22681 CBL	
UniProt:O14543 SOCS3	
UniProt:P42224-1 STAT1	
UniProt:P40189-2 IL6ST	
UniProt:P40189 IL6ST	
UniProt:P42702 LIFR	
UniProt:P26992 CNTFR	
UniProt:O75462 CRLF1	
UniProt:Q9UBD9 CLCF1	
UniProt:P26441 CNTF	
UniProt:Q14626 IL11RA	
UniProt:P20809 IL11	
UniProt:Q99650 OSMR	
UniProt:P13725 OSM	
UniProt:Q16619 CTF1	
UniProt:Q8NI17 IL31RA	
UniProt:Q6EBC2 IL31	
UniProt:P51532 SMARCA4	
UniProt:Q9NSI6 BRWD1	
UniProt:P68431 H3C1	
UniProt:Q71DI3 HIST2H3A	
UniProt:P16871 IL7R	
UniProt:P13232 IL7	
UniProt:P35568 IRS1	
UniProt:Q9Y4H2 IRS2	
UniProt:Q9HC73 CRLF2	
UniProt:Q969D9 TSLP	
UniProt:P55895 RAG2	
UniProt:P15918 RAG1	
UniProt:O14508 SOCS2	
UniProt:Q9NSE2 CISH	
UniProt:O15524 SOCS1	
UniProt:P14210 HGF	
UniProt:Q8N6P7 IL22RA1	
UniProt:Q9GZX6 IL22	
UniProt:Q13007 IL24	
UniProt:Q6UXL0 IL20RB	
UniProt:Q9UHF4 IL20RA	
UniProt:Q9NYY1 IL20	
UniProt:Q8IU57 IFNLR1	
UniProt:Q8IZI9 IFNL3	
UniProt:Q8IZJ0 IFNL2	
UniProt:Q969J5 IL22RA2	
UniProt:P52630 STAT2	
UniProt:Q8IU54 IFNL1	
UniProt:Q9UHD0 IL19	
UniProt:Q9NPH9 IL26	
UniProt:P42226 STAT6	
UniProt:P05112 IL4	
UniProt:P24394 IL4R	
UniProt:Q15306 IRF4	
UniProt:P07900 HSP90AA1	
UniProt:P38936 CDKN1A	
UniProt:P08670 VIM	
UniProt:Q07820 MCL1	
UniProt:Q7L0Q8 RHOU	
UniProt:P35228 NOS2	
UniProt:Q16658 FSCN1	
UniProt:P31749 AKT1	
UniProt:P78552 IL13RA1	
UniProt:P35225 IL13	
UniProt:O75159 SOCS5	
UniProt:P16671 CD36	
UniProt:P09601 HMOX1	
UniProt:Q16520 BATF	
UniProt:P35398 RORA	
UniProt:Q15672 TWIST1	
UniProt:P49716 CEBPD	
UniProt:Q16665 HIF1A	
UniProt:P11309 PIM1	
UniProt:Q12778 FOXO1	
UniProt:P51449 RORC	
UniProt:P48431 SOX2	
UniProt:P24385 CCND1	
UniProt:O43524 FOXO3	
UniProt:P17275 JUNB	
UniProt:P37275 ZEB1	
UniProt:Q9H9S0 NANOG	
UniProt:P01100 FOS	
UniProt:P41182 BCL6	
UniProt:O15392 BIRC5	
UniProt:P01106 MYC	
UniProt:P14859 POU2F1	
UniProt:P16050 ALOX15	
UniProt:P11142 HSPA8	
UniProt:P14625 HSP90B1	
UniProt:P21397 MAOA	
UniProt:P04637 TP53	
UniProt:Q99608 NDN	
UniProt:P10415 BCL2	
UniProt:Q07817 BCL2L1	
UniProt:Q5VWK5 IL23R	
UniProt:P21453 S1PR1	
UniProt:P15941 MUC1	
UniProt:P11215 ITGAM	
UniProt:P05107 ITGB2	
UniProt:P19320 VCAM1	
UniProt:P05556 ITGB1	
UniProt:P20702 ITGAX	
UniProt:P01854 IGHE	
UniProt:P01861 IGHG4	
UniProt:P01857 IGHG1	
UniProt:P51671 CCL11	
UniProt:Q14627 IL13RA2	
UniProt:P48023 FASLG	
UniProt:P23771 GATA3	
UniProt:P09917 ALOX5	
UniProt:Q96PD4 IL17F	
UniProt:P01137 TGFB1	
UniProt:P14780 MMP9	
UniProt:P09038 FGF2	
UniProt:P15692 VEGFA	
UniProt:Q9NPF7 IL23A	
