term_name,intersection_size,p_value,type,condition
Chaperone Mediated Autophagy,9,4.66E-12,gdTcells1,Flush
Salmonella infection,14,4.05E-08,gdTcells1,Flush
Antigen processing and presentation,9,4.05E-08,gdTcells1,Flush
Viral myocarditis,7,5.66E-08,gdTcells1,Flush
Antigen processing-Cross presentation,11,6.26E-07,gdTcells1,Flush
Phagosome,11,1.27E-06,gdTcells1,Flush
Endosomal/Vacuolar pathway,4,1.29E-06,gdTcells1,Flush
Signaling by Interleukins,17,4.99E-06,gdTcells1,Flush
Autophagy,9,5.09E-06,gdTcells1,Flush
Interleukin-4 and Interleukin-13 signaling,9,8.36E-06,gdTcells1,Flush
Regulation of actin dynamics for phagocytic cup formation,9,1.51E-05,gdTcells1,Flush
Human T-cell leukemia virus 1 infection,8,1.51E-05,gdTcells1,Flush
Regulation of actin cytoskeleton,11,1.51E-05,gdTcells1,Flush
EPH-Ephrin signaling,7,2.85E-05,gdTcells1,Flush
EPHB-mediated forward signaling,5,2.88E-05,gdTcells1,Flush
Axon guidance,17,4.15E-05,gdTcells1,Flush
Fcgamma receptor (FCGR) dependent phagocytosis,9,4.40E-05,gdTcells1,Flush
Toll Like Receptor 4 (TLR4) Cascade,8,5.00E-05,gdTcells1,Flush
RHO GTPases Activate WASPs and WAVEs,4,6.60E-05,gdTcells1,Flush
Clathrin-mediated endocytosis,8,7.35E-05,gdTcells1,Flush
Human immunodeficiency virus 1 infection,10,7.70E-05,gdTcells1,Flush
Allograft rejection,4,9.01E-05,gdTcells1,Flush
Toll-like Receptor Cascades,8,0.000102651,gdTcells1,Flush
Graft-versus-host disease,4,0.000103528,gdTcells1,Flush
Fluid shear stress and atherosclerosis,8,0.000116679,gdTcells1,Flush
Salmonella infection,13,7.50E-05,NK-likecells,Flush
Cellular responses to stress,26,0.000105072,NK-likecells,Flush
Cellular responses to external stimuli,26,0.00012444,NK-likecells,Flush
Innate Immune System,39,0.000186623,NK-likecells,Flush
Neutrophil degranulation,23,0.000201722,NK-likecells,Flush
Interleukin-4 and Interleukin-13 signaling,5,0.000211103,NK-likecells,Flush
Protein methylation,3,0.000268065,NK-likecells,Flush
Vesicle-mediated transport,22,0.000419282,NK-likecells,Flush
Signaling by Interleukins,15,0.000467478,NK-likecells,Flush
Axon guidance,18,0.000467478,NK-likecells,Flush
Formation of annular gap junctions,2,0.000517209,NK-likecells,Flush
MAPK family signaling cascades,11,0.000521353,NK-likecells,Flush
Gap junction degradation,2,0.000580815,NK-likecells,Flush
RAF/MAP kinase cascade,10,0.000591184,NK-likecells,Flush
MAPK1/MAPK3 signaling,10,0.000622329,NK-likecells,Flush
Endocytosis,14,0.000691794,NK-likecells,Flush
FLT3 Signaling,10,0.000760087,NK-likecells,Flush
Cell-extracellular matrix interactions,2,0.000809476,NK-likecells,Flush
Shigellosis,13,0.000845884,NK-likecells,Flush
Pathogenic Escherichia coli infection,12,0.000845884,NK-likecells,Flush
Adaptive Immune System,32,0.000914442,NK-likecells,Flush
Yersinia infection,4,0.001411893,NK-likecells,Flush
Interaction between L1 and Ankyrins,2,0.001675027,NK-likecells,Flush
RHO GTPases activate IQGAPs,2,0.001710977,NK-likecells,Flush
Adherens junctions interactions,2,0.001710977,NK-likecells,Flush
Metabolism,220,8.77E-29,Hepatocyte,Flush
Neutrophil degranulation,70,7.89E-12,Hepatocyte,Flush
Innate Immune System,123,2.64E-11,Hepatocyte,Flush
Metabolic pathways,125,4.68E-08,Hepatocyte,Flush
Metabolism of lipids,73,2.74E-07,Hepatocyte,Flush
Complement and coagulation cascades,10,6.20E-07,Hepatocyte,Flush
Steroid hormone biosynthesis,5,5.52E-05,Hepatocyte,Flush
Signaling by BRAF and RAF fusions,4,0.000372378,Hepatocyte,Flush
Oncogenic MAPK signaling,4,0.000486044,Hepatocyte,Flush
Formation of annular gap junctions,2,0.001093288,Hepatocyte,Flush
